                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.73407,                0.46569,                0.95695,                0.78046,                0.75117,                0.79912,                0.63919,                0.81208,                0.63065,                 1.0009,              0.0001962,              0.0001962,              0.0001962
                     97,                0.73272,                0.46137,                0.95869,                0.77119,                0.76682,                0.80076,                0.64397,                0.80988,                0.62728,                0.99879,             0.00019273,             0.00019273,             0.00019273
                     98,                 0.7324,                0.46089,                0.95374,                0.75277,                0.78679,                0.80342,                0.64296,                0.80522,                0.62759,                0.99587,             0.00018925,             0.00018925,             0.00018925
                     99,                0.72661,                0.45347,                0.95319,                0.75231,                0.77993,                0.80458,                0.64145,                 0.8082,                0.63394,                0.99709,             0.00018578,             0.00018578,             0.00018578
                    100,                0.72661,                0.45645,                0.95626,                0.77856,                0.76592,                0.80475,                0.64395,                0.80983,                0.63231,                 0.9986,             0.00018231,             0.00018231,             0.00018231
                    101,                 0.7269,                0.45211,                0.95036,                0.76494,                0.78186,                 0.8065,                0.64478,                0.81543,                0.63518,                0.99993,             0.00017884,             0.00017884,             0.00017884
                    102,                0.72313,                0.44684,                0.95249,                0.75631,                0.78453,                0.80226,                0.64272,                0.81495,                0.63551,                 1.0008,             0.00017537,             0.00017537,             0.00017537
                    103,                0.71623,                 0.4464,                0.95162,                 0.7739,                0.77753,                0.80273,                0.64118,                 0.8195,                0.63138,                 1.0041,              0.0001719,              0.0001719,              0.0001719
                    104,                0.71824,                0.44315,                0.95005,                0.79084,                0.75842,                0.80244,                0.64071,                0.81016,                0.62841,                0.99889,             0.00016843,             0.00016843,             0.00016843
                    105,                 0.7197,                0.44389,                0.95103,                0.81333,                0.73585,                0.79969,                0.64195,                0.81204,                 0.6323,                0.99922,             0.00016495,             0.00016495,             0.00016495
                    106,                0.71367,                0.44347,                0.94727,                0.81148,                0.75689,                0.80379,                0.64845,                0.80398,                0.62884,                0.99592,             0.00016148,             0.00016148,             0.00016148
                    107,                0.71082,                0.43738,                0.94631,                0.78555,                0.76163,                0.80271,                0.64613,                0.80648,                0.63225,                0.99673,             0.00015801,             0.00015801,             0.00015801
                    108,                0.71161,                0.43577,                0.94683,                0.76225,                0.77239,                0.80243,                0.64394,                0.80678,                0.63443,                0.99735,             0.00015454,             0.00015454,             0.00015454
                    109,                0.70602,                0.43169,                0.94357,                0.74481,                0.79034,                0.80133,                0.64295,                0.80874,                0.63677,                0.99822,             0.00015107,             0.00015107,             0.00015107
                    110,                0.70398,                0.42995,                0.94411,                0.76567,                0.77955,                0.80485,                0.64633,                0.80121,                0.63136,                0.99542,              0.0001476,              0.0001476,              0.0001476
                    111,                0.70384,                0.42722,                0.94375,                0.78448,                0.76091,                0.80241,                0.64548,                0.80284,                0.63664,                0.99737,             0.00014412,             0.00014412,             0.00014412
                    112,                0.69606,                0.42359,                0.94087,                0.77694,                0.76646,                0.80631,                0.64713,                0.80413,                0.63575,                0.99746,             0.00014065,             0.00014065,             0.00014065
                    113,                0.69969,                0.42211,                0.94088,                0.74659,                0.78964,                0.80653,                0.64799,                 0.8014,                 0.6332,                0.99572,             0.00013718,             0.00013718,             0.00013718
                    114,                0.69701,                0.41957,                0.94033,                0.74543,                0.79755,                0.80496,                0.64833,                0.81066,                0.63673,                 1.0003,             0.00013371,             0.00013371,             0.00013371
                    115,                0.69376,                0.41512,                0.93781,                0.78994,                0.76029,                0.80587,                0.64883,                0.80483,                0.63696,                0.99808,             0.00013024,             0.00013024,             0.00013024
                    116,                0.69241,                0.41776,                0.93449,                0.79808,                0.75811,                0.80535,                0.64689,                0.80786,                 0.6403,                0.99916,             0.00012677,             0.00012677,             0.00012677
                    117,                0.69267,                 0.4127,                0.93715,                0.79277,                0.76556,                0.80699,                0.64658,                 0.8067,                0.64048,                0.99849,             0.00012329,             0.00012329,             0.00012329
                    118,                0.68733,                0.41047,                0.93594,                0.76205,                0.78241,                0.80588,                0.64557,                0.80456,                0.64176,                0.99764,             0.00011982,             0.00011982,             0.00011982
                    119,                0.68607,                0.40761,                0.93478,                0.76203,                0.78527,                0.80624,                0.64675,                0.80423,                0.64041,                0.99695,             0.00011635,             0.00011635,             0.00011635
                    120,                0.68466,                0.40725,                0.93519,                0.78848,                0.77998,                0.80854,                0.64655,                 0.8055,                0.63791,                0.99717,             0.00011288,             0.00011288,             0.00011288
                    121,                   0.68,                0.40563,                0.93508,                 0.7688,                0.78644,                0.80862,                0.64729,                0.80667,                0.64021,                0.99799,             0.00010941,             0.00010941,             0.00010941
                    122,                0.67864,                0.40266,                0.92994,                0.82862,                0.74652,                0.80983,                0.64641,                 0.8049,                0.63955,                0.99803,             0.00010594,             0.00010594,             0.00010594
                    123,                0.67961,                0.40354,                0.93307,                0.76573,                0.79036,                0.80769,                0.65119,                0.80374,                 0.6406,                0.99777,             0.00010246,             0.00010246,             0.00010246
                    124,                0.67832,                0.40097,                0.93081,                0.82186,                0.75247,                0.80715,                0.64965,                 0.8063,                0.64496,                0.99849,             9.8993e-05,             9.8993e-05,             9.8993e-05
                    125,                0.67226,                0.39716,                0.92803,                0.79549,                0.76684,                0.80643,                0.65029,                0.80436,                0.64206,                0.99797,             9.5522e-05,             9.5522e-05,             9.5522e-05
                    126,                0.67263,                 0.3968,                 0.9268,                0.83275,                0.74588,                0.80668,                0.64894,                0.80718,                0.64204,                0.99896,              9.205e-05,              9.205e-05,              9.205e-05
                    127,                0.66972,                0.39449,                0.92937,                0.80375,                0.74975,                0.80482,                0.64955,                0.80537,                0.64295,                0.99817,             8.8578e-05,             8.8578e-05,             8.8578e-05
                    128,                0.66485,                0.39072,                0.92509,                0.78378,                0.78281,                 0.8056,                0.64956,                0.80306,                0.64238,                0.99648,             8.5107e-05,             8.5107e-05,             8.5107e-05
                    129,                0.66513,                0.39227,                0.92822,                0.76836,                0.79104,                0.80712,                0.64878,                0.80422,                0.64538,                0.99751,             8.1635e-05,             8.1635e-05,             8.1635e-05
                    130,                0.66235,                0.38889,                0.92771,                0.78414,                0.77991,                0.80676,                0.64998,                0.80513,                0.64535,                0.99822,             7.8164e-05,             7.8164e-05,             7.8164e-05
